,frame_idx,x,y,width,height,is_bball
0,184,0,97.0,13,23,True
1,185,0,89.0,28,34,True
2,186,0,84.0,20,35,True
3,187,0,77.0,25,29,True
4,188,0,66.0,19,29,True
5,267,0,407.0,10,19,False
6,268,0,388.0,14,31,False
7,269,0,397.0,17,25,False
8,270,0,396.0,18,23,False
9,273,0,352.0,7,36,False
10,274,0,377.0,17,36,False
11,274,0,345.0,19,11,False
12,274,0,293.0,11,26,False
13,275,0,376.0,13,11,False
14,275,0,280.0,27,38,False
15,276,9,298.0,22,13,False
16,277,17,410.0,11,26,False
17,277,12,376.0,8,19,False
18,277,15,299.0,21,13,False
19,278,0,511.0,19,23,False
20,278,21,407.0,9,27,False
21,278,14,358.0,17,39,False
22,278,19,302.0,19,11,False
23,279,0,512.0,20,32,False
24,279,26,406.0,7,25,False
25,279,18,357.0,18,40,False
26,280,13,504.0,10,15,False
27,280,30,407.0,13,19,False
28,280,0,352.0,39,41,False
29,281,0,351.0,47,75,False
30,282,13,351.0,39,90,False
31,283,18,351.0,37,80,False
32,284,20,352.0,41,79,False
33,285,22,357.0,42,75,False
34,286,58,399.0,11,30,False
35,286,0,356.0,63,40,False
36,287,62,402.0,13,28,False
37,287,0,352.0,14,20,False
38,287,29,301.0,22,19,False
39,288,9,525.0,8,19,False
40,288,67,405.0,12,23,False
41,288,0,349.0,33,24,False
42,288,29,306.0,27,23,False
43,289,17,521.0,10,23,False
44,289,72,407.0,12,18,False
45,289,0,351.0,37,24,False
46,289,32,307.0,25,24,False
47,290,21,521.0,29,23,False
48,290,76,407.0,12,16,False
49,290,9,353.0,32,39,False
50,290,33,312.0,37,21,False
51,291,80,408.0,11,13,False
52,291,12,361.0,29,29,False
53,291,41,314.0,32,21,False
54,292,14,357.0,33,40,False
55,292,46,315.0,30,15,False
56,293,45,454.0,16,27,False
57,293,20,371.0,25,23,False
58,293,48,317.0,16,22,False
59,294,0,521.0,17,23,False
60,294,49,455.0,15,31,False
61,294,22,375.0,14,25,False
62,294,51,320.0,16,19,False
63,295,0,511.0,29,33,False
64,295,50,456.0,16,37,False
65,295,24,374.0,12,12,False
66,296,0,498.0,46,46,False
67,296,53,483.0,13,13,False
68,296,42,457.0,29,26,False
69,296,28,373.0,10,16,False
70,297,0,509.0,39,35,False
71,297,56,482.0,19,17,False
72,297,31,369.0,10,25,False
73,298,8,457.0,78,87,False
74,298,83,399.0,15,17,False
75,298,60,320.0,19,23,False
76,299,23,454.0,72,90,False
77,299,91,396.0,18,17,False
78,300,31,492.0,54,52,False
79,301,40,471.0,61,73,False
80,301,73,317.0,31,10,False
