,frame_idx,x,y,width,height,is_bball,shot_idx
237,408,248,328.0,29,35,True,1
255,416,277,233.0,30,29,True,1
256,417,293,214.0,30,28,True,1
257,418,309,196.0,30,29,True,1
258,419,325,180.0,30,29,True,1
259,420,341,163.0,28,31,True,1
262,421,357,150.0,28,28,True,1
265,422,371,139.0,29,28,True,1
269,423,387,127.0,27,30,True,1
271,424,402,117.0,28,26,True,1
272,425,417,108.0,28,29,True,1
273,426,432,100.0,26,15,True,1
274,427,447,94.0,27,19,True,1
275,428,461,88.0,28,28,True,1
276,429,475,85.0,27,17,True,1
278,430,491,82.0,26,17,True,1
280,431,506,80.0,26,28,True,1
282,432,522,79.0,25,16,True,1
284,433,540,80.0,22,29,True,1
286,434,552,81.0,24,17,True,1
288,435,565,85.0,22,14,True,1
290,436,590,90.0,12,17,True,1
292,437,593,95.0,23,25,True,1
294,438,610,102.0,24,24,True,1
296,439,624,112.0,20,25,True,1
298,440,639,117.0,25,27,True,1
300,441,654,127.0,25,27,True,1
302,442,669,138.0,28,29,True,1
304,443,698,163.0,28,30,True,1
306,444,700,160.0,30,37,True,1
986,692,246,267.0,27,31,True,2
989,693,262,243.0,28,29,True,2
992,694,275,222.0,31,30,True,2
994,695,291,201.0,30,30,True,2
996,696,306,183.0,30,27,True,2
998,697,321,165.0,30,28,True,2
1000,698,336,149.0,29,29,True,2
1003,699,350,132.0,30,31,True,2
1006,700,365,119.0,29,29,True,2
1009,701,379,108.0,31,29,True,2
1010,702,407,86.0,28,27,True,2
1011,703,418,78.0,31,22,True,2
1012,704,433,70.0,29,26,True,2
1013,705,449,63.0,29,21,True,2
1015,706,463,60.0,27,18,True,2
1017,707,485,55.0,18,26,True,2
1019,708,495,51.0,19,29,True,2
1022,710,525,47.0,19,30,True,2
1024,711,537,49.0,20,28,True,2
1027,712,552,50.0,20,28,True,2
1029,713,559,52.0,23,16,True,2
1031,714,579,56.0,15,28,True,2
1033,715,589,70.0,18,18,True,2
1035,716,611,68.0,10,27,True,2
1037,717,615,74.0,24,18,True,2
1039,718,630,82.0,22,28,True,2
1041,719,641,93.0,26,26,True,2
1042,720,654,103.0,28,24,True,2
1044,721,677,113.0,16,18,True,2
1046,722,685,127.0,28,24,True,2
1048,723,700,142.0,25,25,True,2
1052,725,728,173.0,25,31,True,2
1068,732,758,237.0,20,23,True,2
1537,904,222,329.0,37,34,True,3
1551,912,253,234.0,29,28,True,3
1553,913,268,211.0,29,30,True,3
1554,914,281,191.0,31,29,True,3
1555,915,296,173.0,29,28,True,3
1556,916,310,155.0,31,27,True,3
1558,917,325,139.0,30,29,True,3
1561,918,339,123.0,30,30,True,3
1564,919,353,110.0,29,29,True,3
1566,920,367,97.0,29,30,True,3
1569,921,380,86.0,28,28,True,3
1570,922,394,76.0,28,26,True,3
1571,923,407,67.0,27,28,True,3
1572,924,420,59.0,28,28,True,3
1573,925,434,52.0,27,29,True,3
1574,926,447,48.0,28,27,True,3
1575,927,460,43.0,25,25,True,3
1576,928,473,44.0,27,14,True,3
1577,929,493,39.0,9,19,True,3
1578,930,506,37.0,19,19,True,3
1579,931,515,38.0,24,26,True,3
1581,932,537,40.0,27,28,True,3
1584,933,559,44.0,18,19,True,3
1586,934,565,48.0,24,25,True,3
1588,935,579,55.0,21,24,True,3
1590,936,591,65.0,22,24,True,3
1592,937,606,69.0,23,28,True,3
1594,938,619,77.0,25,27,True,3
1596,939,632,88.0,25,28,True,3
1598,940,644,99.0,25,24,True,3
1600,941,661,113.0,24,21,True,3
1602,942,673,125.0,28,20,True,3
1604,943,686,140.0,27,25,True,3
1605,944,699,159.0,29,26,True,3
1606,945,715,173.0,29,27,True,3
1608,946,729,200.0,27,23,True,3
1620,950,767,235.0,26,23,True,3
1624,951,778,246.0,26,27,True,3
1627,952,783,258.0,30,27,True,3
1630,953,793,272.0,22,23,True,3
1640,955,817,301.0,23,29,True,3
1651,957,831,337.0,29,29,True,3
1655,958,841,357.0,31,31,True,3
1660,959,854,379.0,28,31,True,3
1663,960,860,402.0,30,29,True,3
1667,961,883,455.0,34,32,True,3
1673,962,895,485.0,36,27,True,3
1687,965,867,498.0,32,30,True,3
1692,966,849,488.0,34,30,True,3
1696,967,833,479.0,33,32,True,3
1701,968,818,470.0,30,33,True,3
1724,973,722,453.0,39,35,True,3
1729,974,709,455.0,34,34,True,3
1734,975,691,456.0,34,37,True,3
1739,976,675,462.0,33,35,True,3
1744,977,656,468.0,35,35,True,3
1746,978,638,475.0,35,36,True,3
1748,979,620,485.0,36,35,True,3
1750,980,604,496.0,34,36,True,3
1753,981,584,510.0,35,34,True,3
1757,982,567,516.0,34,28,True,3
1970,1092,245,235.0,29,26,True,4
1971,1093,259,214.0,31,29,True,4
1972,1094,274,194.0,31,30,True,4
1974,1095,291,176.0,29,29,True,4
1976,1096,306,159.0,29,29,True,4
1979,1097,321,144.0,29,29,True,4
1982,1098,336,129.0,29,30,True,4
1985,1099,351,116.0,28,29,True,4
1987,1100,365,104.0,29,30,True,4
1989,1101,379,94.0,28,29,True,4
1990,1102,393,84.0,28,25,True,4
1991,1103,407,76.0,28,25,True,4
1992,1104,423,69.0,27,28,True,4
1993,1105,450,59.0,29,25,True,4
1994,1106,471,55.0,21,28,True,4
1995,1107,489,53.0,16,16,True,4
1996,1108,496,52.0,19,28,True,4
1998,1109,510,51.0,23,29,True,4
2000,1110,521,52.0,25,27,True,4
2002,1111,539,54.0,20,25,True,4
2004,1112,554,57.0,18,23,True,4
2006,1113,573,61.0,13,25,True,4
2009,1114,577,74.0,21,14,True,4
2011,1115,593,74.0,21,28,True,4
2013,1116,605,81.0,25,27,True,4
2016,1117,625,90.0,19,25,True,4
2019,1118,633,103.0,28,25,True,4
2022,1119,649,111.0,23,24,True,4
