,frame_idx,x,y,width,height,is_bball,shot_idx
1596,549,238,323.0,32,32,True,2
1599,552,226,284.0,33,35,True,2
1600,553,222,276.0,30,40,True,2
1601,554,212,271.0,36,40,True,2
1607,557,199,257.0,34,36,True,2
1617,561,255,179.0,29,30,True,2
1619,562,272,159.0,31,31,True,2
1620,563,291,142.0,30,29,True,2
1621,564,308,126.0,30,29,True,2
1624,565,325,110.0,29,29,True,2
1627,566,342,96.0,30,29,True,2
1630,567,358,84.0,31,28,True,2
1634,568,375,73.0,30,27,True,2
1635,569,391,63.0,30,28,True,2
1636,570,408,55.0,29,24,True,2
1637,571,425,47.0,29,30,True,2
1638,572,441,41.0,28,29,True,2
1639,573,458,36.0,28,28,True,2
1640,574,473,33.0,29,27,True,2
1641,575,489,30.0,29,30,True,2
1642,576,506,29.0,28,27,True,2
1644,577,522,29.0,27,22,True,2
1646,578,538,32.0,27,26,True,2
1649,579,554,34.0,27,23,True,2
1651,580,569,39.0,28,26,True,2
1653,581,586,42.0,24,26,True,2
1655,582,602,47.0,25,27,True,2
1657,583,617,54.0,26,27,True,2
1659,584,634,62.0,25,25,True,2
1661,585,652,73.0,23,26,True,2
1663,586,667,85.0,22,20,True,2
1664,587,699,108.0,25,27,True,2
2187,802,221,298.0,25,19,True,3
2191,805,197,261.0,25,25,True,3
2204,810,237,187.0,30,28,True,3
2206,811,253,166.0,30,29,True,3
2207,812,269,147.0,31,29,True,3
2208,813,287,128.0,29,29,True,3
2210,814,301,111.0,31,29,True,3
2212,815,317,97.0,30,27,True,3
2215,816,332,82.0,30,26,True,3
2218,817,348,69.0,30,27,True,3
2220,818,378,47.0,29,28,True,3
2221,819,394,38.0,28,27,True,3
2222,820,407,31.0,30,26,True,3
2223,821,424,24.0,27,30,True,3
2224,822,438,19.0,27,29,True,3
2225,823,454,15.0,27,27,True,3
2226,824,467,11.0,28,28,True,3
2227,825,481,10.0,29,28,True,3
2228,826,496,9.0,29,26,True,3
2229,827,512,9.0,27,29,True,3
2231,828,525,11.0,28,28,True,3
2233,829,541,14.0,27,30,True,3
2235,830,555,17.0,27,30,True,3
2237,831,569,23.0,25,27,True,3
2240,832,585,28.0,24,30,True,3
2242,833,599,36.0,25,26,True,3
2244,834,618,44.0,22,20,True,3
2246,835,629,55.0,27,27,True,3
2248,836,648,64.0,23,28,True,3
2250,837,661,78.0,24,23,True,3
2253,839,689,104.0,27,28,True,3
2255,840,704,120.0,24,27,True,3
2256,841,714,135.0,28,24,True,3
2257,842,712,140.0,30,17,True,3
2958,1132,232,201.0,27,34,True,4
2962,1133,247,179.0,32,30,True,4
2963,1134,280,139.0,30,30,True,4
2964,1135,295,124.0,30,28,True,4
2966,1136,313,107.0,28,28,True,4
2969,1137,330,91.0,27,30,True,4
2971,1138,341,78.0,30,30,True,4
2973,1139,358,66.0,28,29,True,4
2975,1140,372,55.0,29,29,True,4
2976,1141,388,46.0,27,26,True,4
2977,1142,403,38.0,27,25,True,4
2978,1143,418,30.0,26,29,True,4
2979,1144,432,24.0,25,28,True,4
2980,1145,447,19.0,17,27,True,4
2981,1146,462,15.0,24,29,True,4
2982,1147,472,12.0,28,27,True,4
2983,1148,486,11.0,26,26,True,4
2984,1149,500,11.0,28,26,True,4
2985,1150,515,12.0,27,28,True,4
2986,1151,529,15.0,26,28,True,4
2987,1152,542,17.0,27,30,True,4
2988,1153,557,21.0,27,29,True,4
2989,1154,570,27.0,27,30,True,4
